[Gloo] Rank [Gloo] Rank 4 is connected to 57 is connected to  peer ranks. 7Expected number of connected peer ranks is :  peer ranks. 7Expected number of connected peer ranks is : 
7
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 6 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
logs/600b88b4-a87b-4201-a8ab-f7bc7b5c0fcf.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:334/1480 train_time:9839ms step_avg:29.46ms
step:335/1480 train_time:9865ms step_avg:29.45ms
step:336/1480 train_time:9898ms step_avg:29.46ms
step:337/1480 train_time:9924ms step_avg:29.45ms
step:338/1480 train_time:9957ms step_avg:29.46ms
step:339/1480 train_time:9982ms step_avg:29.45ms
step:340/1480 train_time:10015ms step_avg:29.46ms
step:341/1480 train_time:10040ms step_avg:29.44ms
step:342/1480 train_time:10074ms step_avg:29.46ms
step:343/1480 train_time:10099ms step_avg:29.44ms
step:344/1480 train_time:10132ms step_avg:29.45ms
step:345/1480 train_time:10158ms step_avg:29.44ms
step:346/1480 train_time:10190ms step_avg:29.45ms
step:347/1480 train_time:10216ms step_avg:29.44ms
step:348/1480 train_time:10249ms step_avg:29.45ms
step:349/1480 train_time:10275ms step_avg:29.44ms
step:350/1480 train_time:10309ms step_avg:29.45ms
step:351/1480 train_time:10334ms step_avg:29.44ms
step:352/1480 train_time:10368ms step_avg:29.46ms
step:353/1480 train_time:10394ms step_avg:29.45ms
step:354/1480 train_time:10427ms step_avg:29.46ms
step:355/1480 train_time:10453ms step_avg:29.44ms
step:356/1480 train_time:10486ms step_avg:29.46ms
step:357/1480 train_time:10512ms step_avg:29.44ms
step:358/1480 train_time:10545ms step_avg:29.46ms
step:359/1480 train_time:10571ms step_avg:29.45ms
step:360/1480 train_time:10604ms step_avg:29.46ms
step:361/1480 train_time:10629ms step_avg:29.44ms
step:362/1480 train_time:10662ms step_avg:29.45ms
step:363/1480 train_time:10688ms step_avg:29.44ms
step:364/1480 train_time:10721ms step_avg:29.45ms
step:365/1480 train_time:10746ms step_avg:29.44ms
step:366/1480 train_time:10780ms step_avg:29.45ms
step:367/1480 train_time:10806ms step_avg:29.44ms
step:368/1480 train_time:10839ms step_avg:29.45ms
step:369/1480 train_time:10865ms step_avg:29.44ms
step:370/1480 train_time:10898ms step_avg:29.45ms
step:371/1480 train_time:10925ms step_avg:29.45ms
step:372/1480 train_time:10957ms step_avg:29.45ms
step:373/1480 train_time:10983ms step_avg:29.44ms
step:374/1480 train_time:11015ms step_avg:29.45ms
step:375/1480 train_time:11041ms step_avg:29.44ms
step:376/1480 train_time:11074ms step_avg:29.45ms
step:377/1480 train_time:11100ms step_avg:29.44ms
step:378/1480 train_time:11133ms step_avg:29.45ms
step:379/1480 train_time:11159ms step_avg:29.44ms
step:380/1480 train_time:11192ms step_avg:29.45ms
step:381/1480 train_time:11217ms step_avg:29.44ms
step:382/1480 train_time:11251ms step_avg:29.45ms
step:383/1480 train_time:11276ms step_avg:29.44ms
step:384/1480 train_time:11310ms step_avg:29.45ms
step:385/1480 train_time:11335ms step_avg:29.44ms
step:386/1480 train_time:11369ms step_avg:29.45ms
step:387/1480 train_time:11395ms step_avg:29.44ms
step:388/1480 train_time:11428ms step_avg:29.45ms
step:389/1480 train_time:11454ms step_avg:29.44ms
step:390/1480 train_time:11487ms step_avg:29.45ms
step:391/1480 train_time:11513ms step_avg:29.44ms
step:392/1480 train_time:11546ms step_avg:29.45ms
step:393/1480 train_time:11571ms step_avg:29.44ms
step:394/1480 train_time:11605ms step_avg:29.45ms
step:395/1480 train_time:11630ms step_avg:29.44ms
step:396/1480 train_time:11664ms step_avg:29.45ms
step:397/1480 train_time:11689ms step_avg:29.44ms
step:398/1480 train_time:11723ms step_avg:29.45ms
step:399/1480 train_time:11748ms step_avg:29.44ms
step:400/1480 train_time:11781ms step_avg:29.45ms
step:401/1480 train_time:11807ms step_avg:29.44ms
step:402/1480 train_time:11840ms step_avg:29.45ms
step:403/1480 train_time:11866ms step_avg:29.44ms
step:404/1480 train_time:11899ms step_avg:29.45ms
step:405/1480 train_time:11925ms step_avg:29.44ms
step:406/1480 train_time:11958ms step_avg:29.45ms
step:407/1480 train_time:11984ms step_avg:29.44ms
step:408/1480 train_time:12017ms step_avg:29.45ms
step:409/1480 train_time:12043ms step_avg:29.44ms
step:410/1480 train_time:12076ms step_avg:29.45ms
step:411/1480 train_time:12102ms step_avg:29.44ms
step:412/1480 train_time:12134ms step_avg:29.45ms
step:413/1480 train_time:12160ms step_avg:29.44ms
step:414/1480 train_time:12193ms step_avg:29.45ms
step:415/1480 train_time:12219ms step_avg:29.44ms
step:416/1480 train_time:12251ms step_avg:29.45ms
step:417/1480 train_time:12277ms step_avg:29.44ms
step:418/1480 train_time:12311ms step_avg:29.45ms
step:419/1480 train_time:12336ms step_avg:29.44ms
step:420/1480 train_time:12369ms step_avg:29.45ms
step:421/1480 train_time:12395ms step_avg:29.44ms
step:422/1480 train_time:12428ms step_avg:29.45ms
